Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Metafield: custom.by_fabric [single_line_text_field],Metafield: custom.by_pieces [single_line_text_field],Metafield: custom.by_type [single_line_text_field],Metafield: custom.by_color [single_line_text_field],_title_branded,_title_whitelabel,_source_brand,_source_url,_in_stock_at_source
alkaram-3-pc-printed-lawn-suit-with-lawn-dupatta-ss-15-1-24-2-black,Alkaram · Ladies Unstitched 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10015,shopify,0,deny,manual,3423.00,4890.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/SS-15.1-24-2-Black-2.jpg?v=1718563841,1,Ladies Unstitched 3 piece,draft,,3 piece,,,Alkaram · Ladies Unstitched 3 piece,Ladies Unstitched 3 piece,Alkaram,https://alkaramstudio.com/products/3-pc-printed-lawn-suit-with-lawn-dupatta-ss-15-1-24-2-black,yes
alkaram-4-piece-embroidered-yarn-dyed-organza-suit-with-yarn-dyed-organza-dupatta-hf-14-25-1-cherry-,Alkaram · Ladies Unstitched Printed Organza 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Organza, pieces:3, type:Printed",FALSE,Title,Default Title,KJC-LU-ALK-10016,shopify,0,deny,manual,12792.00,15990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/HF-14-25-1-CHERRY_RED-1_2f7f5700-5cee-4df6-bf61-5b9147b5ebf4.jpg?v=1738659881,1,Ladies Unstitched Printed Organza 3 piece,draft,Organza,3 piece,Printed,,Alkaram · Ladies Unstitched Printed Organza 3 piece,Ladies Unstitched Printed Organza 3 piece,Alkaram,https://alkaramstudio.com/products/4-piece-embroidered-yarn-dyed-organza-suit-with-yarn-dyed-organza-dupatta-hf-14-25-1-cherry-red,yes
alkaram-2-pc-embroidered-thin-cambric-suit-with-fancy-zarri-dupatta-fc-34n-25-persian-blue,Alkaram · Ladies Unstitched Printed 2 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:2, type:Printed",FALSE,Title,Default Title,KJC-LU-ALK-10017,shopify,0,deny,manual,4893.00,6990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-34N-25-PERSIAN_BLUE-1_b1b3d57a-a602-48db-8a1e-467fe6b887f6.jpg?v=1738575431,1,Ladies Unstitched Printed 2 piece,draft,,2 piece,Printed,,Alkaram · Ladies Unstitched Printed 2 piece,Ladies Unstitched Printed 2 piece,Alkaram,https://alkaramstudio.com/products/2-pc-embroidered-thin-cambric-suit-with-fancy-zarri-dupatta-fc-34n-25-persian-blue,yes
alkaram-3-pc-embroidered-viscose-jacquard-suit-with-chiffon-dupatta-fc-27k-25-white,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3, type:Embroidered",FALSE,Title,Default Title,KJC-LU-ALK-10018,shopify,0,deny,manual,7693.00,10990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-27K-25-WHITE-1_5e3e5769-409f-4198-8456-03d95cf64396.jpg?v=1738575373,1,Ladies Unstitched Embroidered Lawn 3 piece,draft,Lawn,3 piece,Embroidered,,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,Ladies Unstitched Embroidered Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/3-pc-embroidered-viscose-jacquard-suit-with-chiffon-dupatta-fc-27k-25-white,yes
alkaram-3-pc-embroidered-lawn-suit-with-burnout-dupatta-fc-24j-25-lavender,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3, type:Embroidered",FALSE,Title,Default Title,KJC-LU-ALK-10019,shopify,0,deny,manual,7693.00,10990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-24J-25-LAVENDER-1_3cd39641-03f7-453b-8b05-64fe2110812d.jpg?v=1738575348,1,Ladies Unstitched Embroidered Lawn 3 piece,draft,Lawn,3 piece,Embroidered,,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,Ladies Unstitched Embroidered Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/3-pc-embroidered-lawn-suit-with-burnout-dupatta-fc-24j-25-lavender,yes
alkaram-3-pc-embroidered-jacquard-suit-with-organza-jacquard-dupatta-fc-20h-25-green,Alkaram · Ladies Unstitched Embroidered Jacquard 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Jacquard, pieces:3, type:Embroidered",FALSE,Title,Default Title,KJC-LU-ALK-10020,shopify,0,deny,manual,7693.00,10990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-20H-25-GREEN-1_4d5ebc21-797c-496e-bcec-6bd21c91c13f.jpg?v=1738575316,1,Ladies Unstitched Embroidered Jacquard 3 piece,draft,Jacquard,3 piece,Embroidered,,Alkaram · Ladies Unstitched Embroidered Jacquard 3 piece,Ladies Unstitched Embroidered Jacquard 3 piece,Alkaram,https://alkaramstudio.com/products/3-pc-embroidered-jacquard-suit-with-organza-jacquard-dupatta-fc-20h-25-green,yes
alkaram-3-piece-embroidered-lawn-suit-with-chiffon-dupatta-ll-12-25-1-royal-blue,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3, type:Embroidered",FALSE,Title,Default Title,KJC-LU-ALK-10021,shopify,0,deny,manual,8393.00,11990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/LL-12-25-1-ROYAL_BLUE-1_cfa938d3-3615-4dc4-a73b-e2456e1a3e94.jpg?v=1738133707,1,Ladies Unstitched Embroidered Lawn 3 piece,draft,Lawn,3 piece,Embroidered,,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,Ladies Unstitched Embroidered Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/3-piece-embroidered-lawn-suit-with-chiffon-dupatta-ll-12-25-1-royal-blue,yes
alkaram-3-piece-embroidered-lawn-suit-with-tissue-silk-dupatta-ll-11-25-1-sage-green,Alkaram · Ladies Unstitched Printed Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3, type:Printed",FALSE,Title,Default Title,KJC-LU-ALK-10022,shopify,0,deny,manual,8393.00,11990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/LL-11-25-1-SAGE_GREEN-1_97bd0264-c9b0-44d7-b05b-230744d7cd38.jpg?v=1738133697,1,Ladies Unstitched Printed Lawn 3 piece,draft,Lawn,3 piece,Printed,,Alkaram · Ladies Unstitched Printed Lawn 3 piece,Ladies Unstitched Printed Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/3-piece-embroidered-lawn-suit-with-tissue-silk-dupatta-ll-11-25-1-sage-green,yes
alkaram-3-piece-printed-lawn-suit-with-printed-zari-dupatta-ss-6-25-1-dark-blue,Alkaram · Ladies Unstitched Printed Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3, type:Printed",FALSE,Title,Default Title,KJC-LU-ALK-10023,shopify,0,deny,manual,4403.00,6290.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/SS-6-25-1-DARK_BLUE-1_2e2a00b0-2903-4da2-a020-c4d4f1f0a572.jpg?v=1736449549,1,Ladies Unstitched Printed Lawn 3 piece,draft,Lawn,3 piece,Printed,,Alkaram · Ladies Unstitched Printed Lawn 3 piece,Ladies Unstitched Printed Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/3-piece-printed-lawn-suit-with-printed-zari-dupatta-ss-6-25-1-dark-blue,yes
alkaram-four-piece-embroidered-organza-6m-suit-with-organza-dupatta-lf-09-24-2-ivory,Alkaram · Ladies Unstitched Embroidered Organza 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Organza, pieces:3, type:Embroidered",FALSE,Title,Default Title,KJC-LU-ALK-10024,shopify,0,deny,manual,21592.00,26990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/LF-09-24-2-IVORY-1_7b1260a3-416a-4030-a2b4-ffd909d2b374.jpg?v=1729146309,1,Ladies Unstitched Embroidered Organza 3 piece,draft,Organza,3 piece,Embroidered,,Alkaram · Ladies Unstitched Embroidered Organza 3 piece,Ladies Unstitched Embroidered Organza 3 piece,Alkaram,https://alkaramstudio.com/products/four-piece-embroidered-organza-6m-suit-with-organza-dupatta-lf-09-24-2-ivory,yes
alkaram-3-pc-embroidered-indian-silk-suit-with-yarn-dyed-dupatta-f2-10-25-pink,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3, type:Embroidered",FALSE,Title,Default Title,KJC-LU-ALK-10025,shopify,0,deny,manual,6643.00,9490.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/F2-10-25-PINK-1_4895dbcf-4a75-4979-a4bb-4b32a44baecd.jpg?v=1749021080,1,Ladies Unstitched Embroidered Lawn 3 piece,draft,Lawn,3 piece,Embroidered,,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,Ladies Unstitched Embroidered Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/3-pc-embroidered-indian-silk-suit-with-yarn-dyed-dupatta-f2-10-25-pink,yes
